date,price,total_volume,market_cap,coin_name
2020-11-04,28.863213090978785,53061021.01122654,784453957.084558,filecoin
2020-11-05,28.89940702403186,51858223.52657145,808899170.7512995,filecoin
2020-11-06,29.437496731232574,53073486.40389357,848688650.7816124,filecoin
2020-11-07,31.67873056481789,114784886.49214192,932478272.7988048,filecoin
2020-11-08,29.92173183428666,117187621.01006323,898570414.518341,filecoin
2020-11-09,30.71437762454573,43569925.030961335,946765111.5270143,filecoin
2020-11-10,31.27614564306925,70589681.3466677,980175251.297319,filecoin
2020-11-11,30.355539393303946,77788935.21881078,971324219.7046409,filecoin
2020-11-12,30.074590872459012,63350376.6847226,977836168.151562,filecoin
2020-11-13,29.50138763139613,64632402.47458432,980940186.3146718,filecoin
2020-11-14,29.18348938011425,46374964.61487351,989163131.68572,filecoin
2020-11-15,29.308241083537126,46656076.5521233,1010701349.2476013,filecoin
2020-11-16,27.754596975192612,64355871.76105965,972306708.8565435,filecoin
2020-11-17,27.47415850246156,66990195.44150138,983242022.5802612,filecoin
2020-11-18,29.04663591100442,98404410.91686241,1053531538.7069919,filecoin
2020-11-19,28.884041127283858,76981354.93860403,1065566004.7832322,filecoin
2020-11-20,28.836418294945485,44549185.46211414,1078997738.3542826,filecoin
2020-11-21,29.03297941534771,66565828.96830781,1104845751.636248,filecoin
2020-11-22,29.835385463370333,109827003.611973,1152020550.603267,filecoin
2020-11-23,28.97455195566526,74525001.3501965,1136336865.4502778,filecoin
2020-11-24,29.152495615482497,64478008.085590035,1159770309.1231425,filecoin
2020-11-25,29.69480828811275,119023651.02180421,1202725591.6704721,filecoin
2020-11-26,31.076483226999855,246696676.8440839,1264360564.8794208,filecoin
2020-11-27,29.859995505894357,176400314.3852683,1249059351.628235,filecoin
2020-11-28,29.956028039749977,71663334.72888185,1269516701.928657,filecoin
2020-11-29,29.92724371697021,52092461.75053196,1287329451.1674116,filecoin
2020-11-30,29.9657492276032,41468964.75579041,1305347569.5699754,filecoin
2020-12-01,30.291092806718957,80327102.26846689,1343914271.7988675,filecoin
2020-12-02,30.22263361850741,105841737.79278883,1350662411.9702575,filecoin
2020-12-03,30.638930347497723,69844238.14378643,1366916570.9937828,filecoin
2020-12-04,30.45112380705019,58750507.88848269,1354592881.154428,filecoin
2020-12-05,29.105538607487997,75895542.16327609,1298555662.3133624,filecoin
2020-12-06,29.877120174190132,47680577.81577241,1331599671.2784326,filecoin
2020-12-07,29.306209693910496,49225331.17725182,1305959182.3082852,filecoin
2020-12-08,30.535994423804752,147780373.59187344,1360443036.0415494,filecoin
2020-12-09,29.964229165044685,111523277.94696948,1336608928.1296468,filecoin
2020-12-10,30.496371093809255,176605247.7615105,1360379788.5401053,filecoin
2020-12-11,30.577518401061127,199008674.94860765,1367452564.0494237,filecoin
2020-12-12,29.915356296293208,154565320.1991871,1335651652.1960728,filecoin
2020-12-13,30.024411947221175,80109565.1219934,1339216964.0735939,filecoin
2020-12-14,30.079610224401623,75097275.78166607,1340054073.0953798,filecoin
2020-12-15,29.37785535703316,94322817.19191419,1310997955.8092475,filecoin
2020-12-16,29.141461175451354,100309846.01202284,1299271237.7283943,filecoin
2020-12-17,28.47472557261946,146855150.16733792,1268748005.778233,filecoin
2020-12-18,28.434668765431873,154310089.4472003,1269199574.8423693,filecoin
2020-12-19,28.482447577977144,83877190.71861382,1268920902.3581283,filecoin
2020-12-20,28.28646354859127,100393244.21757032,1260896801.4375882,filecoin
2020-12-21,28.425579402798967,77355912.35110064,1265640429.2541573,filecoin
2020-12-22,25.12541700786485,189143189.4605951,1116963470.7828884,filecoin
2020-12-23,24.65938330963582,208100019.62737167,1098521764.2124968,filecoin
2020-12-24,22.393877730770093,153502569.82116878,1002020727.4238386,filecoin
2020-12-25,23.711485929216284,110589136.64800124,1070477089.0000271,filecoin
2020-12-26,24.19868044306187,128403111.37619881,1066903272.1972156,filecoin
2020-12-27,23.607314166249015,53592093.62123639,1053399876.4856431,filecoin
2020-12-28,22.26786214815625,90932583.26916578,996416285.4536161,filecoin
2020-12-29,22.016665488790053,78548169.26898716,984958783.1406097,filecoin
2020-12-30,20.414291266609762,109330498.67486331,910450449.0266372,filecoin
2020-12-31,21.667585858799086,112612320.8927767,971502565.7987247,filecoin
2021-01-01,24.332649074568128,221650260.12354195,1085852456.2044303,filecoin
2021-01-02,22.26545151346079,157364231.6607094,997801424.6666099,filecoin
2021-01-03,21.828358282862826,112849343.36025542,972755571.7195723,filecoin
2021-01-04,21.577334586341465,118001030.48272939,961823165.8483748,filecoin
2021-01-05,20.971516044607387,139133407.4518984,933651801.4490069,filecoin
2021-01-06,21.637499704274394,123548680.69304316,965061654.5564218,filecoin
2021-01-07,21.965644230617578,119647759.11144678,981791589.808168,filecoin
2021-01-08,22.141311677022408,150413994.76491714,985030080.1124637,filecoin
2021-01-09,21.66795712491178,99060370.37174033,963811421.3661202,filecoin
2021-01-10,22.236827441240354,89014120.9442777,992984336.0991169,filecoin
2021-01-11,23.581049628823116,265355918.21325916,1050431927.9268968,filecoin
2021-01-12,21.570961445933612,193306939.6571558,963053856.3708664,filecoin
2021-01-13,21.12715265139296,100775458.4736598,942008771.8480518,filecoin
2021-01-14,21.719502249805913,85333698.6427731,967935922.4576999,filecoin
2021-01-15,21.597018558280833,95089736.96209514,961793556.0164002,filecoin
2021-01-16,21.557677015766576,111122862.2879243,961842010.9547049,filecoin
2021-01-17,22.87440971406909,265852064.7538983,1017544913.0502763,filecoin
2021-01-18,24.28820869310656,418766559.2227876,1086015386.889698,filecoin
2021-01-19,23.684633896638175,190043176.4465864,1054182976.9254099,filecoin
2021-01-20,22.677761060382128,179386491.65251583,1016126534.6996398,filecoin
2021-01-21,22.38911255715604,157883219.84480947,999485111.4107952,filecoin
2021-01-22,21.25821713351011,136807313.37180814,959850230.101953,filecoin
2021-01-23,22.287890650908043,265570456.75227076,1013184171.7935616,filecoin
2021-01-24,22.689629447925178,178166580.32060942,1030043615.6160413,filecoin
2021-01-25,22.74403539205069,113922341.15192427,1041453667.3598425,filecoin
2021-01-26,22.437500087328758,113665132.12374684,1030150090.3237169,filecoin
2021-01-27,22.1925456760997,108009750.55364281,1022176234.7866141,filecoin
2021-01-28,21.48718769763265,120101620.34008133,993902507.9448189,filecoin
2021-01-29,21.885404011298196,92083831.1991965,1015996115.5149173,filecoin
2021-01-30,22.257271685326735,153450534.2496623,1045513789.0047519,filecoin
2021-01-31,21.99998473077016,95376696.00539285,1036800625.6575937,filecoin
2021-02-01,22.227610787381238,103409399.27386585,1052624446.4618396,filecoin
2021-02-02,22.552385653557636,231322958.9842114,1073176630.2547331,filecoin
2021-02-03,22.47521042202928,96428957.95955779,1079812140.2858324,filecoin
2021-02-04,23.067601307987246,115763697.62767115,1110368380.3902166,filecoin
