date,price,total_volume,market_cap,coin_name
2020-07-26,3.9079970497184626,151230221.0069421,744227650.9850808,cosmos
2020-07-27,3.801976885324603,149699778.6475571,724550496.9105366,cosmos
2020-07-28,3.5966674698676697,215253063.24149922,686107081.3203907,cosmos
2020-07-29,3.7467733246572736,153303271.4996507,714699398.8922032,cosmos
2020-07-30,3.6312557741113967,137928521.58849654,691361534.0443323,cosmos
2020-07-31,3.7271676423070534,128435810.24496113,709174557.8216509,cosmos
2020-08-01,3.7955148816175313,131392306.44425201,722355972.8108596,cosmos
2020-08-02,4.084184851107092,197456909.78442395,773528943.9401164,cosmos
2020-08-03,3.881930339787207,185194872.64516595,732497040.3621571,cosmos
2020-08-04,3.846957926503175,185015139.64238602,727699918.851656,cosmos
2020-08-05,4.000007620251127,148785519.98402277,949392998.1854075,cosmos
2020-08-06,4.1622190571378095,168045546.5344593,987083917.2048665,cosmos
2020-08-07,4.187906209482348,159963580.7601474,994499291.9859141,cosmos
2020-08-08,4.010042685627311,227404184.78269714,951509877.4055109,cosmos
2020-08-09,4.414955151430974,250377961.5180145,1047626611.2699391,cosmos
2020-08-10,5.259324595405031,472270482.8644765,1244048477.7605028,cosmos
2020-08-11,5.422001409432881,454680839.69335574,1290538293.689665,cosmos
2020-08-12,4.916134319737038,311641069.02236915,1168796945.9176192,cosmos
2020-08-13,5.966474129079834,481479859.157711,1415963156.3863935,cosmos
2020-08-14,6.024396995356216,624105829.2611965,1441637749.8667107,cosmos
2020-08-15,6.097506309289474,493354122.53781426,1448905731.6229117,cosmos
2020-08-16,6.0944165553883085,287706956.1061354,1447295818.0520184,cosmos
2020-08-17,6.209682362846288,367001899.3804836,1476117930.1046615,cosmos
2020-08-18,5.91156809604445,322378393.39105695,1420109797.065809,cosmos
2020-08-19,5.800620944305702,312124252.57430124,1378658317.806567,cosmos
2020-08-20,5.674703539774659,318301543.70727617,1346687504.6524885,cosmos
2020-08-21,6.28773874825818,218500987.15087497,1495428018.6079865,cosmos
2020-08-22,5.605110886616306,363334663.3450736,1341530817.2501543,cosmos
2020-08-23,6.451114599924576,422766813.24208814,1539860353.9060082,cosmos
2020-08-24,8.466918475831358,1133164499.6479774,1992615570.6620789,cosmos
2020-08-25,8.144017617444595,674634512.4590693,1923888553.6920514,cosmos
2020-08-26,8.404247653671781,730302834.2434514,2001179625.9939837,cosmos
2020-08-27,7.71570987730703,675319454.7909566,1838706337.0578105,cosmos
2020-08-28,7.255626341736423,618250758.5175762,1725880021.8014822,cosmos
2020-08-29,7.5715702451563605,475849643.8090263,1807535899.3539019,cosmos
2020-08-30,7.285038159454287,420803756.6802025,1743439330.2466261,cosmos
2020-08-31,7.632812148220818,479368182.6815609,1818893165.0820708,cosmos
2020-09-01,7.262357993671164,426397397.06881845,1738674153.7788272,cosmos
2020-09-02,7.200707884681863,495856047.8953845,1730709733.8608327,cosmos
2020-09-03,6.654594948788346,353568110.8599682,1585365861.0191967,cosmos
2020-09-04,4.948208604238474,239895821.74026924,1188994589.5428715,cosmos
2020-09-05,5.497519278999506,316324473.52248025,1311302091.0535069,cosmos
2020-09-06,4.91165325638954,281091816.85923266,1168469509.62625,cosmos
2020-09-07,5.188742161905485,301466646.13062537,1237650675.0663762,cosmos
2020-09-08,5.038472478909613,297914799.99942434,1201513294.1791975,cosmos
2020-09-09,4.945210770006631,365958451.4553665,1176259956.7316053,cosmos
2020-09-10,5.3262448907763815,291154652.393214,1268302567.7937722,cosmos
2020-09-11,5.326584055292699,367590519.4363718,1271915027.6531744,cosmos
2020-09-12,5.3358892007825105,408070335.0790019,1273871091.4011378,cosmos
2020-09-13,5.598246640908471,393991136.46470284,1333509893.0164955,cosmos
2020-09-14,5.264414433687349,390657144.1840334,1245861793.3403006,cosmos
2020-09-15,5.407956102755766,400328391.0794077,1290585556.9469476,cosmos
2020-09-16,4.874155917376524,367045879.03704804,1161683588.7988436,cosmos
2020-09-17,5.1488092293301,219318235.3157635,1215274441.420886,cosmos
2020-09-18,5.057111378715239,351007558.1394673,1208964768.8591197,cosmos
2020-09-19,4.964643914575372,342645957.2012452,1174510413.0914092,cosmos
2020-09-20,4.9362069725470406,175857717.0863893,1177258499.896258,cosmos
2020-09-21,4.667282487402415,266054200.89985245,1111782290.2751918,cosmos
2020-09-22,4.104058869932353,350812508.54178476,985811135.8203849,cosmos
2020-09-23,4.21020863515192,124575111.49488351,996446987.746109,cosmos
2020-09-24,3.8591658027208426,213795798.67518353,921007397.1574746,cosmos
2020-09-25,4.46932539442739,242812644.16289642,1068784136.7025828,cosmos
2020-09-26,4.780944733376834,246284933.4098955,1143910606.3199813,cosmos
2020-09-27,4.602389891987967,199779996.89287084,1096424930.356917,cosmos
2020-09-28,4.717668682413769,223972564.76454413,1123480547.726561,cosmos
2020-09-29,4.827954370488682,288175577.9650091,1152678553.8377128,cosmos
2020-09-30,5.270804888432055,284463400.0119882,1255939496.634055,cosmos
2020-10-01,5.360154834857025,312981753.3534753,1278519043.1434126,cosmos
2020-10-02,5.134419511386971,265682149.94604012,1219537253.0360346,cosmos
2020-10-03,4.9036981115369915,291581024.8401138,1165834068.0957136,cosmos
2020-10-04,5.016915866081624,208831956.23085222,1198281802.4827797,cosmos
2020-10-05,5.3170291026029375,243602843.78306726,1276571822.332943,cosmos
2020-10-06,5.362318784346142,253765365.52462745,1281139079.9330547,cosmos
2020-10-07,4.744653316224609,244182824.03146228,1131471967.3942153,cosmos
2020-10-08,4.871880655606843,211086106.03863183,1161713417.6008992,cosmos
2020-10-09,5.05110187439021,221367457.02161604,1204249724.3926048,cosmos
2020-10-10,5.165234703604899,227903971.98626837,1228902192.4149163,cosmos
2020-10-11,5.51781217298289,250286392.2908216,1320134307.8750753,cosmos
2020-10-12,6.069327171681734,387047222.9088159,1460980280.1556356,cosmos
2020-10-13,5.984679080576134,317157472.03649455,1430095698.2870412,cosmos
2020-10-14,6.011573431971666,297776236.704738,1433395948.4694,cosmos
2020-10-15,5.748549689298225,285788551.8383288,1369757310.0372636,cosmos
2020-10-16,5.746713785796683,218353246.83036414,1370560227.2873175,cosmos
2020-10-17,5.4114492729286905,207190320.3723849,1295742173.8151186,cosmos
2020-10-18,5.4680435327611905,77155292.76430897,1300936462.756566,cosmos
2020-10-19,5.763025562234492,152047153.22085387,1373264611.111607,cosmos
2020-10-20,5.505448971264868,180932694.13131103,1312758533.8485959,cosmos
2020-10-21,5.035540455804686,148715663.9716175,1202611876.1030483,cosmos
2020-10-22,5.232906502078655,155568251.3560252,1245551744.4426305,cosmos
2020-10-23,5.41604699204356,204302094.42756197,1291242296.216339,cosmos
2020-10-24,5.346871341274191,233790894.60975105,1274819531.2290225,cosmos
2020-10-25,5.539919602362892,215075338.43126756,1320557927.5583746,cosmos
2020-10-26,5.302331660332057,217899222.04310212,1265517609.8084035,cosmos
2020-10-27,5.144314053589588,245540043.5662068,1225755571.948163,cosmos
2020-10-28,5.141198093519055,233792697.01509,1221325186.4218194,cosmos
2020-10-29,4.7961508465087865,206259827.259053,1142272065.7627413,cosmos
2020-10-30,4.626591651290841,164314473.9293901,1103661955.8333266,cosmos
2020-10-31,4.62669555310133,210722142.40700665,1105097495.6446996,cosmos
2020-11-01,4.598148926248597,163797239.4299863,1097747240.2637484,cosmos
2020-11-02,4.734169007735623,178628808.77808827,1127995336.9390874,cosmos
2020-11-03,4.604922171985456,189901042.74858874,1102649066.4845374,cosmos
2020-11-04,4.463162308018787,184261468.67393956,1059972656.6255693,cosmos
2020-11-05,4.390757163670933,166342473.84812027,1046186140.3115981,cosmos
2020-11-06,4.517789757459862,205232357.04575065,1076261805.1279745,cosmos
2020-11-07,4.867243143609774,261407065.3669344,1161917191.073949,cosmos
2020-11-08,4.612330269448324,283081121.8630642,1104517622.254951,cosmos
2020-11-09,4.808416341278322,190938184.9356677,1148978452.7749386,cosmos
2020-11-10,5.1472769711697985,265599146.6701906,1224133564.6427374,cosmos
2020-11-11,5.083079033453266,236444326.90332094,1212879674.7302349,cosmos
2020-11-12,5.031714936646809,215777617.12433845,1199048852.2477674,cosmos
2020-11-13,5.0424521896242736,258085268.7395312,1203975856.2370827,cosmos
2020-11-14,5.211560129238589,208156053.0443562,1237854131.6535187,cosmos
2020-11-15,5.045263002157911,176029385.142862,1205422230.6894882,cosmos
2020-11-16,4.9885306282661865,117267638.67550424,1188942686.0749435,cosmos
2020-11-17,5.08576564561689,159447211.38418978,1213934287.420789,cosmos
2020-11-18,5.291463118327302,223269568.92590186,1263047631.688492,cosmos
2020-11-19,5.108092834149489,225008095.85651037,1218642404.317669,cosmos
2020-11-20,5.09017882699742,185798733.3889741,1213594793.870088,cosmos
2020-11-21,5.2726154772816844,232109714.3799419,1259269202.1687746,cosmos
2020-11-22,5.9027006771207216,356127049.4986698,1393439567.9976556,cosmos
2020-11-23,5.4665733170382325,327974638.95317715,1307208271.5934405,cosmos
2020-11-24,5.789096385879374,338971558.9544597,1376059796.764834,cosmos
2020-11-25,5.919299120105595,471056661.6501658,1409366263.9883165,cosmos
2020-11-26,5.94444172964406,369200269.427137,1416197290.6300197,cosmos
2020-11-27,5.32479993698823,339061708.2825817,1267869920.1098523,cosmos
2020-11-28,5.358591623892802,197226736.8549588,1277127624.2206874,cosmos
2020-11-29,5.435869054340263,155887065.66587755,1295093994.5692172,cosmos
2020-11-30,5.417740909949374,176085315.74973157,1285789203.5110645,cosmos
2020-12-01,5.548419933677368,212933656.76800546,1327446090.665672,cosmos
2020-12-02,5.2778033370020685,198801009.62263948,1261307319.1820285,cosmos
2020-12-03,5.518775637208894,199009957.4187033,1318098464.1996722,cosmos
2020-12-04,5.507267290130525,184031958.44051877,1312848552.9527104,cosmos
2020-12-05,5.070972931823404,219568712.67399246,1208203418.937135,cosmos
2020-12-06,5.248480293205051,181121513.05349615,1249300978.1675243,cosmos
2020-12-07,5.2025242143067345,130501905.79262187,1242424102.7785592,cosmos
2020-12-08,5.102278577657633,112919598.50534089,1218036897.8079224,cosmos
2020-12-09,4.729897032846519,166834349.50390288,1133813935.3716502,cosmos
2020-12-10,4.799490829076566,162939216.42231998,1144910979.0156052,cosmos
2020-12-11,4.66495010501346,83437995.41133337,1113925502.9189408,cosmos
2020-12-12,4.711288329284222,135895071.7754446,1124020340.5352979,cosmos
2020-12-13,5.067045159201653,160273469.14169338,1210892183.9139612,cosmos
2020-12-14,5.183790513286639,117954377.76021847,1233842843.741587,cosmos
2020-12-15,5.223894456812801,94328357.13242683,1252216820.732184,cosmos
2020-12-16,5.312275511493894,192223513.45008805,1267180627.3114376,cosmos
2020-12-17,5.486716942310322,280111080.697431,1301923330.23746,cosmos
2020-12-18,5.361545133037227,309377130.0593137,1279160566.249596,cosmos
2020-12-19,5.3466740426825945,174926296.20109916,1273823141.2807891,cosmos
2020-12-20,5.294691777700781,182381144.96811032,1262831486.6787977,cosmos
2020-12-21,5.027213312819282,176298891.21339065,1201796720.989414,cosmos
2020-12-22,5.051846904334309,177113624.06204423,1204194733.4378085,cosmos
2020-12-23,4.957461975168139,221611147.65593597,1179818828.934859,cosmos
2020-12-24,4.413825832991345,283376918.4641238,1056498013.6305854,cosmos
2020-12-25,4.954463893746349,270708534.44553095,1181530696.343662,cosmos
2020-12-26,4.906735538445911,207445989.83929178,1171594189.7206929,cosmos
2020-12-27,4.787170660897007,194594942.45501825,1139947807.6849408,cosmos
2020-12-28,4.833757085185352,260146399.07926565,1162390248.206731,cosmos
2020-12-29,5.321209359412949,322021441.26529115,1256680815.9304185,cosmos
2020-12-30,5.637142614804118,382400451.9338018,1340755080.744923,cosmos
2020-12-31,5.446063827611342,371972584.61047083,1297013787.5382986,cosmos
2021-01-01,6.456155888923529,500657530.0083508,1535360623.5289214,cosmos
2021-01-02,5.8722126482128845,451963293.0861368,1400400123.8866172,cosmos
2021-01-03,5.418419854780378,514306282.2256167,1289336359.9180584,cosmos
2021-01-04,5.805859307755104,483992027.1440814,1399285437.7015789,cosmos
2021-01-05,5.849315153415683,530084049.8210353,1389329069.0022447,cosmos
2021-01-06,6.223298928537338,512929990.25634396,1479314485.5012825,cosmos
2021-01-07,6.736810297044329,665881171.2281265,1611358087.9490366,cosmos
2021-01-08,6.275750203414635,525036158.998559,1481350944.2383695,cosmos
2021-01-09,5.953791442582491,529890557.44279265,1407870477.6569827,cosmos
2021-01-10,6.60421795665234,594946490.7237154,1587941763.4697092,cosmos
2021-01-11,6.456502142546766,675216381.0241779,1543195778.962642,cosmos
2021-01-12,5.719331439346791,687464593.8224173,1363616228.1862333,cosmos
2021-01-13,5.7037182022816175,486609506.70948756,1356854916.0997558,cosmos
2021-01-14,6.2572767114517385,364088746.36268556,1479081027.9987123,cosmos
2021-01-15,6.4334237681591855,477601738.4930936,1513207547.0284393,cosmos
2021-01-16,7.963016989367982,1673068219.882502,1916662912.410004,cosmos
