,ID,Rank,Symbol,Name,Price(USD),Max Supply
81,render-token,82,RNDR,Render Token,0.9326018414581868,536870912.0
82,enjin-coin,83,ENJ,Enjin Coin,0.3369213144225257,1000000000.0
83,ftx-token,84,FTT,FTX Token,1.0174931101600415,352170015.0
84,xinfin-network,85,XDC,XinFin Network,0.027086201064334,0.0
85,nexo,86,NEXO,Nexo,0.5682642732240019,1000000000.0
86,basic-attention-token,87,BAT,Basic Attention Token,0.2020917824631613,1500000000.0
87,nem,88,XEM,NEM,0.0323338772066267,8999999999.0
88,dydx,89,DYDX,dYdX,1.7990471706345033,1000000000.0
89,helium,90,HNT,Helium,2.0010060570658146,223000000.0
90,theta-fuel,91,TFUEL,Theta Fuel,0.0452593027449557,0.0
91,sonm,92,SNM,SONM,0.7568784558892063,0.0
92,balancer,93,BAL,Balancer,5.594344134010756,96150704.0
93,wootrade,94,WOO,WOO Network,0.1625740718879526,0.0
94,oasis-network,95,ROSE,Oasis Network,0.0465238438327552,10000000000.0
95,decred,96,DCR,Decred,17.98732322217933,21000000.0
96,holo,97,HOT,Holo,0.0015192569212085,0.0
97,compound,98,COMP,Compound,36.16876911261545,10000000.0
98,ravencoin,99,RVN,Ravencoin,0.021455889900029,21000000000.0
99,yearn-finance,100,YFI,yearn.finance,7062.369016445504,36666.0
